requirement_id,requirement,design_reference,implementation_reference,test_reference,hazard_reference,owner,status,last_reviewed,evidence_link
CORE-001,User can construct a meal offline,docs/architecture/adr/0002-offline-first.md,,,,product,PROPOSED,2026-07-15,
DATA-001,Every nutrient value retains provenance,docs/architecture/adr/0004-food-provenance.md,packages/domain/src/validation.ts;packages/food-schema/src/validation.ts,packages/domain/test/nutrient-observation.test.ts,,food-data,IMPLEMENTED,2026-07-15,ci: pnpm test
DATA-002,Food and nutrient records are validated at trust boundaries,docs/data/canonical-food-schema.md,packages/food-schema/src/validation.ts;packages/domain/src/validation.ts,packages/food-schema/test/canonical-food.test.ts;packages/domain/test/nutrient-observation.test.ts,,food-data,IMPLEMENTED,2026-07-15,ci: pnpm test
DATA-003,INSA/PortFIR composition ingested deterministically with full provenance and 48-nutrient mapping,docs/architecture/adr/0008-portfir-source-onboarding.md,services/food-ingestion/food_ingestion/portfir,services/food-ingestion/tests,,food-data,IMPLEMENTED,2026-07-16,ci: pytest (deterministic import + mapping + quality)
DATA-004,Canonical model carries micronutrient units preparation state food group and source attribution,docs/data/canonical-food-schema.md,packages/domain/src/index.ts;packages/food-schema/src/index.ts;packages/food-schema/src/nutrients.ts,packages/food-schema/test/canonical-food.test.ts;packages/domain/test/nutrient-observation.test.ts,,food-data,IMPLEMENTED,2026-07-16,ci: pnpm test (µg unit + additive fields + nutrient dictionary)
SAFE-001,Dose engine has no AI or network dependency,docs/architecture/adr/0003-dose-engine-isolation.md,packages/dose-engine/src/index.ts,.dependency-cruiser.cjs;scripts/check_dose_engine_isolation.mjs,H-006,clinical,VERIFIED,2026-07-15,ci: pnpm boundaries (negative test confirmed)
SAFE-002,Unknown active insulin fails closed,docs/clinical/safety-requirements.md,packages/dose-engine/src/index.ts,packages/dose-engine/test/dose-engine.test.ts,H-003,clinical,VERIFIED,2026-07-15,ci: pnpm test (active-insulin null blocks)
SAFE-003,Dose engine passes strict TypeScript typecheck,docs/clinical/verification-strategy.md,packages/dose-engine/src/index.ts,packages/dose-engine/test/dose-engine.test.ts,,clinical,VERIFIED,2026-07-15,strict typecheck passes; 25 unit tests green (v0.2)
SAFE-004,Dose engine fails closed on hypoglycaemia and out-of-range glucose,docs/clinical/safety-requirements.md,packages/dose-engine/src/index.ts,packages/dose-engine/test/dose-engine.test.ts,H-011,clinical,VERIFIED,2026-07-15,ci: pnpm test (glucose<=threshold blocks; treat low first)
SAFE-005,Dose output shown as a reviewable estimate with safety warnings never an imperative,docs/clinical/intended-use-and-boundary.md,apps/mobile/src/dose/boundary.ts,,H-001,clinical,PROPOSED,2026-07-15,dose-review UI + human-factors review pending
PRIV-001,Health data is excluded from telemetry,docs/security/privacy-and-data-classification.md,,,H-010,security-privacy,PROPOSED,2026-07-15,
